 

stn;time;fhh010mx
CDF;201804;9.5
CDF;201805;6.8
CDF;201806;9.8
CDF;201807;5.3
CDF;201808;6.4
CDF;201809;8.1
CDF;201810;8.5
CDF;201811;7.4
CDF;201812;10.5
CDF;201901;8.6
CDF;201902;12.4
CDF;201903;-
CDF;201904;-
CDF;201905;10.8
CDF;201906;7.6
CDF;201907;7.0
CDF;201908;6.6
CDF;201909;8.9
CDF;201910;7.1
CDF;201911;7.8
CDF;201912;9.6
CDF;202001;8.9
CDF;202002;11.7
CDF;202003;9.4
CDF;202004;7.2
CDF;202005;8.0
CDF;202006;6.8
CDF;202007;6.9
CDF;202008;7.3
CDF;202009;7.1
CDF;202010;10.6
CDF;202011;8.8
CDF;202012;12.3
CDF;202101;10.5
CDF;202102;9.2
CDF;202103;10.4
CDF;202104;8.3
CDF;202105;10.2
CDF;202106;5.4
CDF;202107;7.6
CDF;202108;7.8
CDF;202109;6.7
CDF;202110;10.6
CDF;202111;7.6
CDF;202112;8.7
CDF;202201;8.9
CDF;202202;10.4
CDF;202203;9.4
CDF;202204;10.5
CDF;202205;7.6
CDF;202206;6.8
CDF;202207;5.9
CDF;202208;6.0
CDF;202209;6.3
CDF;202210;12.3
CDF;202211;7.9
CDF;202212;8.5
CDF;202301;8.7

stn;time;fhh010mx
OTL;200402;6.2
OTL;200403;6.5
OTL;200404;7.0
OTL;200405;5.7
OTL;200406;6.1
OTL;200407;8.2
OTL;200408;5.4
OTL;200409;4.4
OTL;200410;2.9
OTL;200411;4.3
OTL;200412;2.6
OTL;200501;5.0
OTL;200502;7.2
OTL;200503;5.4
OTL;200504;3.5
OTL;200505;4.9
OTL;200506;4.1
OTL;200507;4.9
OTL;200508;5.2
OTL;200509;2.7
OTL;200510;3.7
OTL;200511;5.2
OTL;200512;6.6
OTL;200601;4.9
OTL;200602;3.9
OTL;200603;5.4
OTL;200604;5.1
OTL;200605;4.3
OTL;200606;3.5
OTL;200607;5.2
OTL;200608;5.1
OTL;200609;3.3
OTL;200610;4.0
OTL;200611;3.8
OTL;200612;3.1
OTL;200701;4.0
OTL;200702;3.4
OTL;200703;5.1
OTL;200704;6.5
OTL;200705;12.6
OTL;200706;6.6
OTL;200707;-
OTL;200708;7.0
OTL;200709;-
OTL;200710;5.9
OTL;200711;5.7
OTL;200712;5.7
OTL;200801;5.6
OTL;200802;4.1
OTL;200803;8.3
OTL;200804;6.8
OTL;200805;5.3
OTL;200806;5.9
OTL;200807;5.7
OTL;200808;6.4
OTL;200809;5.8
OTL;200810;6.5
OTL;200811;4.4
OTL;200812;6.2
OTL;200901;3.1
OTL;200902;6.0
OTL;200903;6.2
OTL;200904;7.2
OTL;200905;5.7
OTL;200906;6.5
OTL;200907;8.2
OTL;200908;-
OTL;200909;5.9
OTL;200910;8.1
OTL;200911;3.8
OTL;200912;4.4
OTL;201001;5.7
OTL;201002;4.9
OTL;201003;7.7
OTL;201004;6.2
OTL;201005;5.4
OTL;201006;6.3
OTL;201007;8.9
OTL;201008;5.0
OTL;201009;4.7
OTL;201010;7.0
OTL;201011;9.6
OTL;201012;4.0
OTL;201101;4.6
OTL;201102;4.4
OTL;201103;6.9
OTL;201104;6.3
OTL;201105;7.3
OTL;201106;4.2
OTL;201107;10.5
OTL;201108;7.4
OTL;201109;6.6
OTL;201110;7.6
OTL;201111;3.3
OTL;201112;4.5
OTL;201201;5.5
OTL;201202;5.9
OTL;201203;7.9
OTL;201204;6.3
OTL;201205;6.6
OTL;201206;5.7
OTL;201207;7.2
OTL;201208;6.7
OTL;201209;8.0
OTL;201210;5.7
OTL;201211;4.0
OTL;201212;6.6
OTL;201301;7.8
OTL;201302;4.9
OTL;201303;6.0
OTL;201304;6.0
OTL;201305;7.1
OTL;201306;6.6
OTL;201307;7.9
OTL;201308;8.2
OTL;201309;5.4
OTL;201310;7.9
OTL;201311;6.6
OTL;201312;4.4
OTL;201401;4.6
OTL;201402;3.5
OTL;201403;5.3
OTL;201404;8.2
OTL;201405;8.2
OTL;201406;7.3
OTL;201407;5.7
OTL;201408;5.2
OTL;201409;6.4
OTL;201410;6.7
OTL;201411;7.5
OTL;201412;5.3
OTL;201501;6.1
OTL;201502;5.9
OTL;201503;6.4
OTL;201504;9.3
OTL;201505;11.0
OTL;201506;6.7
OTL;201507;7.2
OTL;201508;7.5
OTL;201509;7.2
OTL;201510;4.7
OTL;201511;5.1
OTL;201512;4.3
OTL;201601;6.4
OTL;201602;5.2
